"domain","site","grid","lat","lon","elev","nlcd"
"D04_Atlantic Neotropical","GUAN","GUAN_025",17.976569,-66.872957,145.2,"evergreenForest"
"D04_Atlantic Neotropical","LAJA","LAJA_002",18.035656,-67.074736,31.1,"cultivatedCrops"
"D04_Atlantic Neotropical","LAJA","LAJA_003",18.025408,-67.079985,20.5,"pastureHay"
"D04_Atlantic Neotropical","LAJA","LAJA_005",18.025309,-67.083407,21.2,"pastureHay"
"D04_Atlantic Neotropical","LAJA","LAJA_010",18.027731,-67.083137,23,"pastureHay"
"D04_Atlantic Neotropical","LAJA","LAJA_018",18.033345,-67.073088,28.7,"cultivatedCrops"
"D04_Atlantic Neotropical","LAJA","LAJA_023",18.034536,-67.068577,25.9,"grasslandHerbaceous"
"D05_Great Lakes","STEI","STEI_001",45.810968,-90.091985,511.2,"deciduousForest"
"D05_Great Lakes","STEI","STEI_002",45.798538,-90.091314,523,"deciduousForest"
"D05_Great Lakes","STEI","STEI_005",45.826963,-90.084426,502.2,"deciduousForest"
"D05_Great Lakes","STEI","STEI_012",45.784603,-90.048055,518.9,"deciduousForest"
"D05_Great Lakes","STEI","STEI_019",45.830848,-90.073755,488.5,"mixedForest"
"D05_Great Lakes","STEI","STEI_022",45.804042,-90.049787,490.3,"woodyWetlands"
"D05_Great Lakes","TREE","TREE_002",45.493088,-89.56624,456.8,"woodyWetlands"
"D05_Great Lakes","TREE","TREE_004",45.478815,-89.55502,451.2,"woodyWetlands"
"D05_Great Lakes","TREE","TREE_016",45.495082,-89.567651,466.1,"evergreenForest"
"D05_Great Lakes","TREE","TREE_019",45.494675,-89.572192,467.7,"mixedForest"
"D05_Great Lakes","TREE","TREE_027",45.492963,-89.556703,469.2,"mixedForest"
"D05_Great Lakes","TREE","TREE_028",45.490023,-89.552829,482.4,"deciduousForest"
"D05_Great Lakes","TREE","TREE_062",45.483071,-89.569359,451.9,"evergreenForest"
"D05_Great Lakes","UNDE","UNDE_001",46.235415,-89.559203,538.4,"deciduousForest"
"D05_Great Lakes","UNDE","UNDE_002",46.244297,-89.543943,504.3,"woodyWetlands"
"D05_Great Lakes","UNDE","UNDE_003",46.25504,-89.535332,505.1,"woodyWetlands"
"D05_Great Lakes","UNDE","UNDE_008",46.255793,-89.513196,511.6,"mixedForest"
